Table 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by State, 2020", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2020
estimated 
population",
,Total all ages,"140,837","7,159","19,714",293,333,"1,314","5,219","2,844","15,996",763,111,"28,780",244,"1,201",2,"1,734","2,924","4,133",246,378,"16,005",5,481,"9,668","2,826","2,375","6,946",8,"35,679",2,327,,,
OKLAHOMA,Under 18,"5,110",385,"1,079",11,13,129,232,220,662,172,25,571,1,28,21,174,202,149,0,26,580,0,20,90,66,144,307,0,892,0,375,414,"3,927,308",
,Total all ages,"83,796","4,882","13,294",161,144,600,"3,977","2,287","9,328","1,497",182,"7,992",390,"1,032",306,"2,101","1,666","2,916",67,318,"11,428",4,411,"8,516",579,"6,706","1,921",52,"18,839",1,375,,,
OREGON,Under 18,"4,687",302,902,5,30,87,180,182,589,93,38,732,9,35,2,16,381,60,1,34,554,0,0,87,307,0,285,0,795,0,185,173,"3,624,887",
,Total all ages,"98,495","4,753","16,264",68,198,889,"3,598","2,103","11,815","1,934",412,"9,750",476,"1,273",58,587,"3,750","2,068",47,321,"8,844",1,263,"9,790","1,617",2,"5,707",13,"32,726",0,185,,,
PENNSYLVANIA5,Under 18,176,12,30,1,1,1,9,5,23,2,0,10,0,0,0,4,4,4,0,8,33,0,1,2,48,2,4,0,13,0,1,102,"157,062",
,Total all ages,"2,224",110,333,3,6,14,87,31,289,12,1,146,24,32,1,23,34,60,3,14,639,0,57,205,63,64,207,0,208,0,1,,,
RHODE ISLAND,Under 18,"1,300",69,221,1,11,13,44,33,134,42,12,197,2,8,1,51,92,51,0,5,66,0,17,5,48,0,214,0,235,0,18,45,"1,041,521",
,Total all ages,"19,266",967,"1,741",15,71,95,786,384,"1,173",150,34,"3,247",93,213,46,259,816,329,8,55,"1,392",2,56,"1,977",428,21,"1,583",0,"6,015",0,18,,,
SOUTH CAROLINA,Under 18,"5,416",485,"1,181",39,64,147,235,268,795,103,15,974,4,42,14,123,294,268,1,29,826,0,8,42,95,30,287,0,687,0,26,240,"4,367,377",
,Total all ages,"122,532","6,630","18,917",359,385,912,"4,974","2,556","15,208","1,033",120,"13,720",798,"2,332",203,"2,336","2,594","2,914",167,224,"25,577",23,753,"10,521","3,077","3,121","7,031",432,"21,136",0,26,,,
SOUTH DAKOTA,Under 18,"3,842",141,442,1,4,11,125,47,294,96,5,554,2,40,4,62,119,42,0,9,574,0,189,80,467,100,298,0,651,0,68,117,"823,677",
,Total all ages,"48,621","1,974","2,364",24,35,68,"1,847",299,"1,656",383,26,"4,974",124,576,18,256,489,272,5,51,"7,298",1,"1,038","5,980","2,210","6,805","2,379",559,"11,178",2,68,,,
TENNESSEE,Under 18,"12,090",885,"2,463",19,49,267,550,347,"1,436",659,21,"2,412",12,76,16,109,578,294,0,65,"1,415",2,17,103,210,79,576,0,"2,336",0,442,443,"6,075,815",
,Total all ages,"235,233","12,729","30,012",340,307,"1,342","10,740","3,988","22,193","3,687",144,"25,563","1,311","3,533",437,"1,705","3,769","2,526",297,412,"37,188",31,"1,703","17,040","1,633","8,884","3,962",9,"82,047",0,442,,,
TEXAS,Under 18,"32,451","3,117","6,177",82,253,"1,158","1,624","1,063","4,053",996,65,"6,435",55,180,12,97,"1,033",821,12,148,"4,297",4,165,405,622,318,538,5,"6,938",0,"1,072",827,"26,746,620",
,Total all ages,"489,316","30,678","53,286",923,"1,656","5,087","23,012","7,655","39,550","5,637",444,"73,456","2,553","4,706",210,804,"6,062","12,916","1,474","1,049","82,337",155,"3,124","55,964","4,647","29,367","5,245",660,"119,551",0,"1,072",,,
UTAH,Under 18,"7,869",252,"1,423",5,59,58,130,102,"1,214",88,19,863,2,34,1,89,588,91,1,124,"1,325",0,16,208,546,40,228,4,"1,832",0,202,103,"2,856,632",
,Total all ages,"82,809","2,631","11,356",60,291,345,"1,935",788,"10,058",438,72,"7,849",493,706,35,"1,152","2,778",868,69,498,"12,474",1,"1,762","8,372","2,634","1,795","1,828",36,"25,269",1,202,,,
VERMONT,Under 18,498,37,73,0,11,3,23,24,44,5,0,125,0,1,1,2,56,1,0,10,22,0,0,11,25,0,46,0,88,0,0,82,"619,602",
,Total all ages,"11,617",749,"1,287",10,66,34,639,202,995,61,29,"1,483",39,179,36,78,348,21,1,34,749,0,209,"1,957",52,0,649,0,"3,746",0,0,,,
VIRGINIA,Under 18,"9,118",488,"1,575",25,65,175,223,210,"1,166",171,28,"1,642",14,75,23,101,373,199,0,58,960,2,41,81,170,36,206,0,"2,687",0,387,316,"8,511,554",
,Total all ages,"201,479","6,651","20,407",336,463,"1,020","4,832","1,734","17,481","1,043",149,"26,895","1,002","3,629",776,781,"3,195","4,584",277,493,"27,090",10,"1,018","16,483","1,512","12,912","1,931",67,"71,379",0,387,,,
WASHINGTON,Under 18,"6,741",703,"1,381",10,60,299,334,366,835,153,27,"1,803",4,22,0,88,659,128,0,64,342,0,2,176,329,9,118,1,903,1,8,234,"7,554,132",
,Total all ages,"143,840","8,445","21,982",186,521,"1,716","6,022","4,540","15,816","1,390",236,"23,689",467,913,23,"3,051","4,904","1,697",210,476,"8,173",1,242,"22,125",994,68,"1,867",167,"44,320",18,8,,,
WEST VIRGINIA,Under 18,384,26,41,1,8,1,16,13,20,8,0,126,0,1,0,4,28,6,0,7,51,0,0,4,9,0,12,0,68,0,1,131,"1,177,351",
,Total all ages,"26,652","1,294","3,491",45,91,82,"1,076",563,"2,696",201,31,"3,489",160,209,18,299,432,407,17,49,"6,015",0,95,"2,425",208,301,452,7,"7,283",0,1,,,
WISCONSIN,Under 18,"21,163",774,"2,677",21,157,211,385,321,"1,871",457,28,"1,336",8,120,45,292,"1,294",289,3,295,"1,844",2,166,222,"1,474",0,"3,533",37,"5,774",0,978,379,"5,543,214",
,Total all ages,"179,705","7,410","18,999",198,726,934,"5,552","1,676","15,972","1,217",134,"13,904",594,"1,597",294,"1,019","4,799","3,453",149,986,"21,848",4,"1,616","20,135","5,863",0,"22,703",417,"52,937",0,978,,,
WYOMING,Under 18,"2,544",39,307,0,6,2,31,41,214,45,7,382,0,6,0,10,148,11,0,8,400,0,7,33,416,2,92,30,541,5,107,53,"510,568",
,Total all ages,"20,581",471,"2,018",8,41,16,406,211,"1,640",149,18,"1,920",19,97,2,50,502,56,3,76,"3,410",0,300,"2,744","1,493","1,309",806,83,"5,110",5,107,,,
1 Does not include traffic arrests.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Violent crimes in this table are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,
3 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 Drunkenness is not considered a crime in some states; therefore, the figures vary widely from state to state. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 Limited data for 2020 were available for Alabama, Maryland, and Pennsylvania.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Includes arrests reported by the District of Columbia Fire and Emergency Medical Services: Arson Investigation Unit and the Metro Transit Police. These agencies have no population associated with them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 See 2020 arrest data information in the downloadable Methodology file for further explanation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 The Florida arrest counts for offenses against the family and children, drunkenness, disorderly conduct, vagrancy, suspicion, and curfew and loitering law violations are included under the category All other offenses. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  Because the number of agencies submitting arrest data varies from year to year, users are cautioned about making direct comparisons between 2020 arrest totals and those published in previous years' editions of Crime in the United States. Further, arrest figures may vary widely from state to state because some Part II crimes are not considered crimes in some states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
